Zipcode,Positive,Total_Tests,Percent.Population,Median.Household.Income,Percent_College,Percent_Public_Transit,density,Percent_Crowded
10452,2045,4555,44.9,27206,13.859581403328185,69.96383183462189,29444.3,14.15830972977111
10453,2048,4561,44.9,24421,13.231484692108431,65.05926549646998,33006.7,13.551676080099758
10454,1000,2378,42.05,21542,9.090909090909092,72.95246942251123,13755,17.133743449532922
10455,1120,2490,44.98,25489,10.86179736427556,68.19410562405221,21476.4,14.207346712033885
10456,2200,5116,43,26724,12.663653646113563,67.47316718209933,32836.8,16.00376941574056
10457,1830,4202,43.55,27036,12.819929990453243,66.10608506325313,25699.2,15.38929934237233
10458,1800,4182,43.04,32129,14.488811966868587,66.18094953717527,30530.3,15.255479803533465
10459,1335,2841,46.99,25762,11.635337706924096,67.86596119929453,22269.8,13.240141618849957
10460,1456,3257,44.7,25948,12.65866299978845,64.60252935862691,16860.9,12.625348530059188
10461,1732,4232,40.93,55847,27.029665383155272,44.85788999871394,8143.1,9.747979077508322
10462,2036,4848,42,49962,24.53206335142319,62.64834986181109,19848.6,9.569102663913617
10463,1697,4282,39.63,58881,39.490261245942186,57.1778774289985,18097.1,7.5970992259953976
10464,114,376,30.32,87853,37.03479576399395,21.523472099202834,504.2,3.8034865293185423
10465,1386,3739,37.07,74079,25.66865623487659,31.229575163398692,4799.6,9.528573214955609
10466,2130,4694,45.38,49906,22.642641400140676,50.55602810068361,13002.9,16.56682416469794
10467,2992,6490,46.1,35381,18.816890445611985,62.54719721173395,16045.2,13.41337253620821
10468,2202,4498,48.96,35398,16.261432535196793,69.86828652192217,27442.2,13.77857088617207
10469,2630,5548,47.4,61090,24.966383687558956,46.44935972060536,10404,17.046770601336302
10470,405,1001,40.46,56658,29.42420897718911,49.22702547953049,4129.4,10.961158657011191
10471,543,1432,37.92,80932,54.89109667558273,44.22343605070596,3441.8,4.303326354966272
10472,1728,3518,49.12,30593,11.526192670305523,66.49053110656844,24312.8,16.183122401425504
10473,1740,4026,43.22,38924,17.35594737758325,50.803618478833656,10563.9,12.877955576785288
10474,293,668,43.86,25896,11.067301155676411,57.44841469552089,3100.2,18.807339449541285
10475,1560,3914,39.86,48734,25.774154551935773,57.10438777126564,9189.1,6.780745242283704
11004,522,961,54.32,93315,40.09354867178537,22.06618464961068,5699.6,10.911548860563924
11101,551,1550,35.55,57866,45.429906542056074,76.22303352140723,3779.2,4.518186650467006
11102,539,1332,40.47,60436,46.47821150307349,71.53370937416062,16711.6,7.167992656058751
11103,471,1227,38.39,65229,48.853402966087515,72.31740704760222,21044.4,4.602617299712736
11104,434,1076,40.33,63122,45.926505847237856,71.17225681194348,27093.6,6.394698338927618
11105,438,1286,34.06,68050,49.004230729542876,64.47964858170943,8420.6,8.214541430710149
11106,569,1458,39.03,60725,47.65262689790992,71.35530137981118,17558.1,7.4211393596986825
11109,46,203,22.66,137452,85.34347728798389,81.90721649484536,27330.4,2.911306702775897
11201,556,1875,29.65,116446,72.60743757367914,68.59494380365201,14028.1,2.989275661809242
11203,1803,3926,45.92,48140,22.546806532996946,60.52015064796418,13711.2,10.853355426677712
11204,1740,4111,42.33,47341,25.787760164334717,53.10147119049869,18996.1,21.893140121181307
11205,626,1869,33.49,51574,43.974254642302284,61.170057432103576,16493.8,13.986743586596292
11206,1344,3382,39.74,34122,26.65170220725776,68.04791284531154,21984.4,14.502931512144837
11207,1794,4147,43.26,35809,15.183918592042705,67.6382457096159,13494.3,13.685318892900119
11208,2000,4178,47.87,39588,14.033226711926366,67.47018717601696,10195.4,18.883813430284953
11209,1003,2783,36.04,69578,49.06771536459862,58.12342007434944,12527.1,9.062361333924976
11210,1496,3338,44.82,62202,35.26791832259833,56.05187319884726,14583.6,17.420397898235056
11211,1808,4662,38.78,66113,48.00759567630733,62.7808961102905,15047.6,12.060735323989437
11212,1582,3669,43.12,25677,13.578155454760735,68.42380139967271,21202.2,7.8940675271825524
11213,1233,2776,44.42,40604,26.406292874782768,65.70946539664688,22579.4,12.726255643904583
11214,1345,3090,43.53,53151,30.73768090466983,59.85151342090235,15777.5,15.519994989509284
11215,542,1794,30.21,116893,74.46613963234594,67.82963298595378,11270.5,5.098655491531343
11216,628,1722,36.47,56025,43.45281296092524,72.59118565495928,22433.5,8.75866937995764
11217,503,1296,38.81,99085,66.2853407419513,71.64848974462546,18472.1,6.19017596148335
11218,1504,3388,44.39,64152,43.78892698464223,60.810850918588436,20331.4,16.846296147349797
11219,2518,6172,40.8,37665,18.51859027764323,42.83075639765246,24025.2,29.050347932869425
11220,1324,2897,45.7,42559,19.049169169761626,61.79019358862973,22037,24.84065092760745
11221,1108,2601,42.6,47170,27.72120754988057,70.63376874697629,22020.5,14.243140811765088
11222,388,1067,36.36,78287,56.20320504400368,66.71170778484876,9292.3,4.659248956884562
11223,1493,3555,42,46310,30.832702637845422,55.167412063338574,14659.2,17.461907146433937
11224,989,2306,42.89,31630,35.084039998784235,58.3790057386034,11593.1,8.667556742323097
11225,1036,2372,43.68,51926,36.636340127418485,71.91678058213583,24824.2,8.86952914333126
11226,1936,4221,45.87,48495,27.062572421784477,73.59106997005172,30415.4,13.453842593852938
11228,579,1450,39.93,63697,32.43217931508132,47.203714920250356,10957.3,15.647458513001435
11229,1360,3366,40.4,59287,37.736287059759896,52.34915462485643,14307.7,13.604343049182447
11230,2019,4638,43.53,46013,40.53274336283186,49.98592976136875,18125.5,18.53002747612194
11231,370,987,37.49,93575,61.700410798122064,63.468502932925276,9053.9,5.757228378550503
11232,436,885,49.27,53908,27.877250571968563,70.23344870756316,9162.6,15.739900136177939
11233,1122,2568,43.69,36009,23.156326927452888,70.16528661402218,19194,10.734367013119781
11234,2039,4578,44.54,79490,34.03132096617218,43.18181818181818,4572.6,16.670331396261975
11235,1779,4018,44.28,49653,45.75499801403416,49.42125972944251,13613.7,7.930211658247854
11236,2374,4978,47.69,63700,27.213572267920092,54.258290064334624,10071.1,13.758187608917732
11237,821,1703,48.21,51269,27.717487466823947,71.23136388735504,19583,15.99163679808841
11238,665,1691,39.33,79013,60.04167148975576,71.78350708533617,17188.6,4.9211716299344115
11239,447,1015,44.04,26002,18.64388681260011,62.822562228819365,8377.3,4.937906564163217
11354,973,2068,47.05,44512,20.49134310929465,40.625120437815546,9727.7,7.517899761336516
11355,1098,2347,46.78,38370,19.802848802896655,43.31071458490408,19106.8,11.95030065927697
11356,489,1107,44.17,59712,20.54827033762535,31.171319102353586,5738.9,13.632094458607272
11357,723,1746,41.41,81053,37.1571319855739,25.980603448275865,5377.9,8.983809851877368
11358,506,1302,38.86,65932,31.70957189588963,39.15648898527566,7439.1,11.8233399785309
11360,288,824,34.95,84476,51.28238680973567,27.956624872924436,5232.4,4.35745077478737
11361,398,1018,39.1,82020,42.207005776038756,31.71152518978606,6255.9,9.086375423897866
11362,280,733,38.2,80828,45.0741673663588,25.719746744713895,2719.3,6.950076912319955
11363,92,257,35.8,97784,50.99871724390691,36.607142857142854,3136.6,7.252912438932732
11364,430,1170,36.75,71030,43.00444577277992,34.467172741496206,5406.6,10.196252028921352
11365,747,1800,41.5,63455,35.54447266162837,37.310679611650485,6528.7,12.850812407680944
11366,354,807,43.87,67115,43.217190480971986,39.16813875060222,4780.1,14.677314914742068
11367,921,2238,41.15,58924,38.180420655439875,40.64533622559653,6728.6,11.694101508916324
11368,3869,6715,57.62,47862,12.873613764102846,65.19391634980988,16141.4,28.148901831450424
11369,1392,2611,53.31,53426,17.75241094272781,56.105527638190956,13674.1,19.6619389935885
11370,1234,2521,48.95,59901,21.805446180627513,53.02779616148246,10282.2,16.239209308144627
11372,2215,4113,53.85,53963,28.467412167236915,67.50604289691888,34729.8,9.17527504829092
11373,2871,5601,51.26,49098,26.160588911110167,70.2171487425972,25573.8,16.10368169060591
11374,961,2335,41.16,56863,49.34115051953329,59.080566519619225,17850.4,4.38298310671611
11375,1400,3420,40.94,76467,59.54414931801867,61.96958446772819,13340.8,4.830021000091305
11377,1897,4190,45.27,54989,28.87056590342864,67.19812324869126,13672.9,12.538216560509555
11378,658,1572,41.86,68460,27.44092469130932,46.60610215975317,5241.3,13.503649635036496
